pop_rank,city,state,pop_estimate,census,pop_delta,pop_density__mi,pop_density__km2,land_area__mi,land_area__km2,latitude,longitude,location
264,Pueblo, Colorado,111127,106595,0.0425,53.6,138.8,2058,795,38.2699,-104.6123,Pueblo Colorado
265,Gresham, Oregon,111053,105594,0.051699999999999996,23.3,60.3,4786,1848,45.5023,-122.4416,Gresham Oregon
266,North Charleston, South Carolina,110861,97471,0.1374,73.7,190.9,1483,573,32.9178,-80.0650,North Charleston South Carolina
267,Ventura, California,110790,106433,0.0409,21.8,56.5,5027,1941,34.2678,-119.2542,Ventura California
268,Inglewood, California,110598,109673,0.0084,9.1,23.6,12160,4700,33.9561,-118.3443,Inglewood California
269,Pompano Beach, Florida,110473,99845,0.10640000000000001,24.0,62.2,4558,1760,26.2416,-80.1339,Pompano Beach Florida
270,Centennial, Colorado,110250,100377,0.0984,29.5,76.4,3727,1439,39.5906,-104.8691,Centennial Colorado
271,West Palm Beach, Florida,110222,99919,0.10310000000000001,55.1,142.7,1963,758,26.7464,-80.1251,West Palm Beach Florida
272,Everett, Washington,110079,103019,0.06849999999999999,33.3,86.2,3275,1264,47.9566,-122.1914,Everett Washington
273,Richmond, California,110040,103701,0.0611,30.1,78.0,3648,1409,37.9523,-122.3606,Richmond California
274,Clovis, California,109691,95631,0.147,24.2,62.7,4404,1700,36.8282,-119.6849,Clovis California
275,Billings, Montana,109642,104170,0.0525,43.7,113.2,2525,975,45.7885,-108.5499,Billings Montana
276,Waterbury, Connecticut,108629,110366,,28.5,73.8,3799,1467,41.5585,-73.0367,Waterbury Connecticut
277,Broken Arrow, Oklahoma,108303,98850,0.0956,61.7,159.8,1741,672,36.0365,-95.7810,Broken Arrow Oklahoma
278,Lakeland, Florida,108054,97422,0.1091,65.9,170.7,1615,624,28.0555,-81.9549,Lakeland Florida
279,West Covina, California,107598,106098,0.0141,16.0,41.4,6740,2600,34.0559,-117.9099,West Covina California
280,Boulder, Colorado,107125,97385,0.1,24.8,64.2,4358,1683,40.0270,-105.2519,Boulder Colorado
281,Daly City, California,107074,101123,0.0588,7.6,19.7,14009,5409,37.7009,-122.4650,Daly City California
282,Santa Maria, California,107014,99553,0.07490000000000001,22.8,59.1,4662,1800,34.9332,-120.4438,Santa Maria California
283,Hillsboro, Oregon,106894,91611,0.1668,25.0,64.7,4207,1624,45.5280,-122.9357,Hillsboro Oregon
284,Sandy Springs, Georgia,106739,93853,0.1373,37.7,97.6,2804,1083,33.9315,-84.3687,Sandy Springs Georgia
285,Norwalk, California,106084,105549,0.0051,9.7,25.1,10946,4226,33.9076,-118.0835,Norwalk California
286,Jurupa Valley, California,106028,0,,42.9,111.1,2414,932,34.0026,-117.4676,Jurupa Valley California
287,Lewisville, Texas,106021,95290,0.11259999999999999,36.7,95.1,2852,1101,33.0466,-96.9818,Lewisville Texas
288,Greeley, Colorado,105448,92889,0.1352,47.8,123.8,2176,840,40.4153,-104.7697,Greeley Colorado
